year,day,country number,country_RU,country_CN,aircraft, military/ else(情報収集機),Year_2022,invasion（領海侵犯報告）,Yomiuri,Nikkei,total_coverage
2024,2024/4/2,1,1,0,4,1,0,0,0,0,0
2024,2024/4/1,1,0,1,1,0,0,0,0,0,0
2024,2024/3/27,1,0,1,1,0,0,0,0,0,0
2024,2024/3/26,1,0,1,1,0,0,0,1,0,1
2024,2024/3/12,1,0,1,3,1,0,0,0,0,0
2024,2024/3/10,1,0,1,1,0,0,0,0,0,0
2024,2024/3/9,1,0,1,1,1,0,0,0,0,0
2024,2024/2/9,1,1,0,1,0,0,0,0,0,0
2023,2023/12/14,2,1,1,15,1,0,0,1,0,1
2023,2023/10/31,1,1,0,1,0,0,1,1,0,1
2023,2023/10/27,1,0,1,1,0,0,0,0,0,0
2023,2023/10/26,1,0,1,1,0,0,0,0,0,0
2023,2023/10/24,1,1,0,1,0,0,0,0,0,0
2023,2023/10/17,1,1,0,8,1,0,0,0,0,0
2023,2023/10/10,1,1,0,1,0,0,0,0,0,0
2023,2023/9/15,1,1,0,2,0,0,0,0,0,0
2023,2023/8/28,1,0,1,1,0,0,0,0,0,0
2023,2023/8/25,1,0,1,2,0,0,0,0,0,0
2023,2023/8/25,1,0,1,2,1,0,0,0,0,0
2023,2023/8/18,1,1,0,2,1,0,0,0,0,0
2023,2023/8/18,1,1,0,1,0,0,0,0,0,0
2023,2023/6/14,1,1,0,1,0,0,0,0,0,0
2023,2023/6/8,1,0,1,1,0,0,0,1,0,1
2023,2023/6/7,2,1,1,22,1,0,0,1,1,2
2023,2023/6/6,2,1,1,6,1,0,0,0,1,1
2023,2023/5/25,1,1,0,1,0,0,0,0,0,0
2023,2023/5/15,1,0,1,1,0,0,0,0,0,0
2023,2023/5/2,1,0,1,1,0,0,0,0,0,0
2023,2023/4/27,1,0,1,1,0,0,0,0,0,0
2023,2023/4/22,1,0,1,2,1,0,0,0,1,1
2023,2023/4/21,1,0,1,2,1,0,0,0,1,1
2023,2023/4/18,1,1,0,1,0,0,0,0,0,0
2023,2023/4/14,1,1,0,1,0,0,0,0,0,0
2023,2023/1/20,1,0,1,1,0,0,0,0,0,0
2023,2023/1/19,1,0,1,1,0,0,0,0,1,1
2023,2023/1/2,1,0,1,1,0,0,0,1,0,1
2023,2023/1/1,1,0,1,1,0,0,0,1,0,1
2022,2022/12/19,1,0,1,2,1,1,0,0,0,0
2022,2022/12/14,1,1,0,4,1,1,0,0,0,0
2022,2022/11/30,1,1,0,2,0,1,0,0,0,0
2022,2022/11/30,2,1,1,4,1,1,0,1,1,2
2022,2022/11/14,1,0,1,2,1,1,0,0,1,1
2022,2022/11/10,1,0,1,1,0,1,0,0,1,1
2022,2022/8/30,1,0,1,1,1,1,0,0,0,0
2022,2022/8/4,1,0,1,2,1,1,0,1,1,2
2022,2022/7/25,1,0,1,1,1,1,0,1,1,2
2022,2022/6/24,1,0,1,1,0,1,0,0,0,0
2022,2022/6/23,1,0,1,3,1,1,0,1,1,2
2022,2022/6/7,1,1,0,4,0,1,0,1,0,1
2022,2022/5/24,2,1,1,9,1,1,0,0,1,1
2022,2022/5/18,1,0,1,2,1,1,0,1,0,1
2022,2022/4/7,1,0,1,1,1,1,0,1,0,1
2022,2022/3/16,1,0,1,1,0,1,0,1,1,2
2022,2022/3/2,1,1,0,1,0,1,1,1,1,2
2022,2022/2/28,1,0,1,1,1,1,0,0,0,0
2022,2022/2/16,1,0,1,1,0,1,0,0,0,0
2022,2022/2/15,1,0,1,1,0,1,0,0,0,0
2022,2022/2/14,1,1,0,2,1,1,0,0,0,0
2022,2022/2/4,1,1,0,2,1,1,0,0,0,0
2022,2022/2/2,1,1,0,2,1,1,0,0,0,0
2021,2021/12/15,1,1,0,9,0,0,0,1,0,1
2021,2021/12/14,1,1,0,1,0,0,0,0,0,0
2021,2021/11/25,1,0,1,2,1,0,0,0,0,0
2021,2021/11/24,1,0,1,2,1,0,0,0,0,0
2021,2021/11/19,2,1,1,4,1,0,0,1,1,2
2021,2021/11/1,1,0,1,2,1,0,0,0,0,0
2021,2021/10/31,1,0,1,3,1,0,0,0,0,0
2021,2021/9/12,1,1,0,1,0,0,1,1,1,2
2021,2021/8/26,1,0,1,3,1,0,0,1,0,1
2021,2021/8/25,1,0,1,3,1,0,0,1,0,1
2021,2021/8/24,1,0,1,1,0,0,0,1,0,1
2021,2021/6/25,1,1,0,1,1,0,0,0,0,0
2021,2021/4/30,1,0,1,2,1,0,0,0,0,0
2021,2021/4/4,1,0,1,1,1,0,0,0,0,0
2021,2021/3/29,1,0,1,2,0,0,0,0,0,0
2021,2021/3/29,1,1,0,2,1,0,0,0,0,0
2021,2021/3/11,1,1,0,9,0,0,0,0,0,0
2020,2020/12/22,2,1,1,6,1,0,0,1,1,2
2020,2020/11/21,1,1,0,1,0,0,0,0,0,0
2020,2020/11/6,1,1,0,9,0,0,0,0,0,0
2020,2020/10/2,1,1,0,1,0,0,1,1,0,1
2020,2020/9/25,1,0,1,1,0,0,0,0,0,0
2020,2020/8/28,1,1,0,2,1,0,0,0,0,0
2020,2020/8/19,1,1,0,8,1,0,0,0,0,0
2020,2020/8/14,1,1,0,1,0,0,0,0,0,0
2020,2020/6/28,1,0,1,2,1,0,0,0,0,0
2020,2020/6/22,1,0,1,1,0,0,0,0,0,0
2020,2020/6/10,1,1,0,1,0,0,0,0,0,0
2020,2020/4/9,1,1,0,2,1,0,0,0,0,0
2020,2020/3/25,1,0,1,1,,0,0,0,0,0
2020,2020/3/24,1,1,0,5,,0,0,0,0,0
2020,2020/3/23,1,0,1,1,,0,0,0,0,0
2020,2020/2/27,1,1,0,2,,0,0,0,0,0
2020,2020/2/9,1,0,1,4,,0,0,0,0,0
2020,2020/1/20,1,0,1,1,,0,0,0,0,0
2019,2019/12/27,1,0,1,1,,0,0,0,1,1
2019,2019/11/29,1,0,1,1,,0,0,0,0,0
2019,2019/11/27,1,1,0,2,,0,0,0,0,0
2019,2019/10/29,1,0,1,1,,0,0,0,0,0
2019,2019/10/22,1,1,0,2,,0,0,0,0,0
2019,2019/8/8,1,1,0,2,,0,0,0,0,0
2019,2019/7/23,1,1,0,1,,0,1,1,0,1
2019,2019/7/23,2,1,1,4,,0,0,0,0,0
2019,2019/6/20,1,1,0,3,,0,1,1,1,2
2019,2019/6/16,1,0,1,1,,0,0,0,0,0
2019,2019/5/29,1,0,1,2,,0,0,0,0,0
2019,2019/5/3,1,1,0,2,,0,0,0,0,0
2019,2019/4/15,1,0,1,2,,0,0,0,0,0
2019,2019/4/5,1,1,0,1,,0,0,0,0,0
2019,2019/4/1,1,0,1,3,,0,0,0,0,0
